review_item_id,titulo_a,texto_revision_a,fecha_iso_a,fuente_a,titulo_b,texto_revision_b,fecha_iso_b,fuente_b
PAIR-0001,Comunidad indígena impide operaciones en el mayor yacimiento de litio del mundo,"El gigante minero Sociedad Química y Minera (SQM) de Chile suspendió las operaciones en el mayor yacimiento de litio del mundo por contundentes protestas de la comunidad indígena Toconao. Los pobladores bloquearon los seis puntos de ingreso a la mina, en el salar de Atacama e impidieron el movimiento de trabajadores y equipos exploratorios. Rechazan las operaciones en el importante depósito de litio de SQM y la firma estadunidense Albemarle
Grupos locales han salido a las calles exigiendo ser incluidos en las conversaciones entre SQM y el gobierno, alegando que fueron marginados en un acuerdo firmado recientemente entre la minera y la cuprífera estatal Codelco. Chile alberga las reservas de litio más grandes del mundo, el 90% de las cuales se encuentran en el desierto de Atacama.
Gabriel Boric, presidente de Chile, ha revelado planes para nacionalizar el sector del litio del país en un intento por impulsar la economía y proteger la biodiversidad. Boric se ha comprometido a lograrlo sie",2024-01-22T13:06:34Z,Cambio16,Acuerdo Codelco – SQM: el litio no espera,"Acuerdo Codelco – SQM: el litio no espera
""Anular el acuerdo Codelco–SQM sería un grave error institucional, económico y diplomático. Esta alianza aprovecha el marco legal vigente, maximiza beneficios fiscales inmediatos y protege a Chile de tensiones geopolíticas innecesarias"".
96 diputados aprobaron anular el acuerdo entre Codelco y SQM para la explotación conjunta del litio en el Salar de Atacama. Este es un gravísimo traspié parlamentario. Hay tres razones de fondo que explican por qué esta alianza Codelco – SQM es una decisión estratégica legítima, beneficiosa y responsable para Chile:
1. El acuerdo entre Codelco y SQM está inscrito en el marco institucional que Chile creó en 2009, cuando se aprobó por amplia mayoría en el Congreso la nueva ley de gobierno corporativo de Codelco. Esa reforma surgió para cumplir con las exigencias de ingreso de Chile a la OCDE. Su propósito fue fortalecer a las grandes empresas públicas, como Codelco, garantizando que fueran administradas con auton",2025-07-17T07:00:00Z,La Tercera
PAIR-0002,Manifestaciones contra HidroAysén se desarrollaron en varias ciudades de Chile,"Manifestaciones contra HidroAysén se desarrollaron en varias ciudades de Chile
Carabineros cifró en 30 mil las personas que se reunieron en Santiago.
Las marchas se repitieron en Valparaíso, Concepción, Temuco y La Serena, entre otras ciudades.
Carabineros cifró en 30 mil las personas que se reunieron en Santiago.
Las marchas se repitieron en Valparaíso, Concepción, Temuco y La Serena, entre otras ciudades.
Una multitudinaria protesta contra el proyecto HidroAysén se desarrolló durante la tarde de este viernes por las calles céntricas de Santiago.
Según informó Carabineros a eso de las 20:00 horas, unas 30.000 personas se encontraban reunidas en Alameda con Paseo Bulnes, frente a La Moneda, mientras que a esa misma hora, en el sector de Portugal con Alameda funcionarios de Fuerzas Especiales hicieron uso de bombas lacrimogénas y dispersaron a la gente que continuaba marchando por el sector.
En tanto, en el sector de Plaza Italia se produjeron algunos enfrentamientos entre encapuchados ",2011-05-13T00:00:00,Cooperativa.cl,Manifestaciones contra HidroAysén se desarrollaron en varias ciudades de Chile,"Manifestaciones contra HidroAysén se desarrollaron en varias ciudades de Chile
Carabineros cifró en 30 mil las personas que se reunieron en Santiago.
Las marchas se repitieron en Valparaíso, Concepción, Temuco y La Serena, entre otras ciudades.
Carabineros cifró en 30 mil las personas que se reunieron en Santiago.
Las marchas se repitieron en Valparaíso, Concepción, Temuco y La Serena, entre otras ciudades.
Una multitudinaria protesta contra el proyecto HidroAysén se desarrolló durante la tarde de este viernes por las calles céntricas de Santiago.
Según informó Carabineros a eso de las 20:00 horas, unas 30.000 personas se encontraban reunidas en Alameda con Paseo Bulnes, frente a La Moneda, mientras que a esa misma hora, en el sector de Portugal con Alameda funcionarios de Fuerzas Especiales hicieron uso de bombas lacrimogénas y dispersaron a la gente que continuaba marchando por el sector.
En tanto, en el sector de Plaza Italia se produjeron algunos enfrentamientos entre encapuchados ",2011-05-13T00:00:00,Cooperativa.cl
PAIR-0003,Cierre de termoeléctricas de Quintero-Puchuncaví es una medida tardía que deja en la impunidad a quienes contaminaron por 50 años,"Cierre de termoeléctricas de Quintero-Puchuncaví es una medida tardía que deja en la impunidad a quienes contaminaron por 50 años
Tiempo de lectura aprox: 1 minutos, 52 segundos
Como una medida tardía calificó Greenpeace el anuncio realizado por la norteamericana AES Gener, sobre el cierre de dos de las cuatro centrales a carbón, que operan hace 50 años sin autorización ambiental, instaladas en el cordón industrial de Quintero – Puchuncaví, hecho que se concretaría en los próximos cinco años.
“Lo que realmente vemos acá es la impunidad con la que esta empresa ha intoxicado sistemáticamente a generaciones enteras a su alrededor. Que hoy hayan tomado esta tardía decisión es un avance hacia lo que deben hacer las grandes transnacionales de la energía para enfrentar el escenario climático, que es tener un plan ambicioso lejos de fuentes obsoletas. Nada de este anuncio repara la grave vulneración de derechos humanos que se ha efectuado con el daño a la salud de las personas ni a los ecosist",2020-12-30T00:00:00,El Clarin de Chile,Greenpeace por cierre Fundición Codelco Ventanas: “Es un avance para terminar de una vez con esta zona de sacrificio”,"Junto a las comunidades locales desde la ONG valoraron el anuncio del cierre pero solicitaron que el proceso se haga con la máxima celeridad y urgencia.
Greenpeace valoró el anuncio respecto del cierre de la Fundición Codelco Ventanas, en la Región de Valparaíso, enfatizando que esta medida debe apuntar a terminar con esta zona de sacrificio de una vez.
“Esperamos sea el comienzo del fin de una de las peores fuentes de contaminación de nuestra historia. Este anuncio inicial de cierre implica reconocer y acoger las demandas que por años ha levantado la comunidad en la zona, víctima de múltiples y frecuentes episodios de contaminación, siendo vulnerados sus derechos humanos, traduciéndose en el deterioro de las condiciones de vida en el territorio y afectando de forma dramática al medio ambiente” indicó Matías Asun, director nacional en Greenpeace.
Advirtieron, sin embargo, que el cierre se trata de un proceso que puede demorar hasta años y cumplir con múltiples requerimientos, por lo qu",2022-06-18T07:00:00Z,greenpeace.org
PAIR-0004,Comunidades mapuche-williche impugnan recomendación del SEA para aprobar proyecto eólico en La Unión,,2025-09-26T00:00:00,Diario El Ranco,Comunidades mapuche anuncian acciones judiciales tras aprobación del Parque Eólico Ovejera Sur en La Unión,,2025-10-06T00:00:00,Diario El Ranco
PAIR-0005,No + zonas de sacrificio. Nuevas intoxicaciones en Quintero-Puchuncaví: Los estragos de una contaminación que no para,"122 casos de personas que han reportado intoxicaciones, suspensión de clases en recintos educacionales, exceso de hidrocarburos en el aire y la alerta de contaminantes que pueden ser cancerígenos para la población azotan nuevamente a las comunas de Quintero y Puchuncaví. Las alertas sanitarias del gobierno a la medida de los empresarios son insuficientes.
Miércoles 31 de mayo de 2023
Semanas de terror vuelven a vivir niños, adultos mayores, trabajadores y la comunidad completa de Quintero-Puchuncaví producto del exceso de material contaminante en el aire que ha generado una ola de nuevas intoxicaciones masivas.
El exceso de hidrocarburos en el aire y la preocupante alerta que advierte que el contaminante presente en Quintero-Puchuncaví se trata de Benceno, un componente declarado cancerígeno por la Organización Mundial de la Salud, ha tenido como consecuencia el copamiento de los centros de salud producto de las intoxicaciones que han afectado sobre todo a niños y niñas, además de la s",2023-05-31T07:00:00Z,La Izquierda Diario,"Ventanas, a un mes del cierre de la fundición de Codelco: “Queremos recuperar la bahía”","Ventanas, a un mes del cierre de la fundición de Codelco: “Queremos recuperar la bahía”
Los habitantes del polo industrial con masivas intoxicaciones exigen saber qué contaminantes están enfermando a la población y paralizar la llegada de nuevas empresas
Desde la terraza en altura de Katta Alonso, de 70 años, se puede observar de punta a punta la bahía en forma de herradura de Quintero-Puchuncaví (40.000 habitantes; Valparaíso, Chile). El patio delantero de la pintoresca casa es el Océano Pacífico y el trasero, un huerto con árboles de membrillo, manzana y durazno. Pero ella no come los productos que la rodean. No se atreve. No confía. Y es que son fruto del mar y tierra de una de las cinco zonas de sacrificio de Chile, como se conocen a las áreas donde la concentración masiva de industrias contaminantes daña la salud de la comunidad. “Nuestros suelos están plagados de compuestos orgánicos volátiles y nuestros pescados, de metales pesados. Si quiero comer mariscos, compro los congelado",2023-07-02T07:00:00Z,EL PAÍS
PAIR-0006,Proyecto de abastecimiento hídrico sustentable de Codelco Andina ingresó al Sistema de Evaluación de Impacto Ambiental,"La iniciativa, cuya inversión asciende a US$ 650 millones y que empleará a 1.650 trabajadores(as) en su etapa de construcción, conducirá aguas industriales desde el depósito de relaves Ovejería y otras fuentes por 70 kms. hasta la planta concentradora en División Andina, haciendo así más eficiente el uso de agua y colaborando en el combate al cambio climático.
Los Andes, 5 de noviembre de 2024.- Luego de finalizar un proceso de Participación Ciudadana Temprana que llevó adelante Codelco Andina para mantener informada a la comunidad, el proyecto “Sistema de impulsión de agua para uso industrial desde Depósito de Relaves Ovejería a Planta Concentradora de División Andina”, ingresó al Sistema de Evaluación de Impacto Ambiental (SEIA) para iniciar su proceso de tramitación por parte de la Dirección Ejecutiva del Servicio de Evaluación Ambiental (SEA).
La iniciativa, que permitirá la continuidad operacional de este centro de trabajo de Codelco, considera construir y operar infraestructura p",2024-11-05T08:00:00Z,Codelco,Tubería de acero pasaría por RM y Valparaíso para que Codelco Andina tenga agua de forma sustentable,"Codelco comunicÃ³ este martes que el plan de impulsiÃ³n de agua para uso industrial, para que la DivisiÃ³n Andina consiga el recurso hÃdrico de forma mÃ¡s sustentable, sigue avanzando.
En detalle, el proyecto “Sistema de impulsiÃ³n de agua para uso industrial desde DepÃ³sito de Relaves OvejerÃa a Planta Concentradora de DivisiÃ³n Andina” culminÃ³ un proceso de “ParticipaciÃ³n Ciudadana Temprana”.
Y ahora, ingresÃ³ al Sistema de EvaluaciÃ³n de Impacto Ambiental (SEIA) para iniciar su proceso de tramitaciÃ³n por parte de la DirecciÃ³n Ejecutiva del Servicio de EvaluaciÃ³n Ambiental (SEA).
TuberÃa de acero soterrada, 3 estaciones de bombeo y 1.650 trabajadores
La iniciativa -conforme a lo indicado por la estatal- permitirÃ¡ una continuidad operacional y se considera construir y operar infraestructura para la conducciÃ³n de aguas de uso industrial.
Para ello, se contempla la instalaciÃ³n de una tuberÃa de acero soterrada de 28 pulgadas de diÃ¡metro, conectada al canal de contorno del depÃ³",2024-11-05T08:00:00Z,BioBioChile
PAIR-0007,Comunidades de Illapel presentarán acción legal para cambiar trazado de línea Kimal-Lo Aguirre,"Un gran movimiento de las comunidades agrícolas de Tunga Norte y Tunga Sur en Illapel, se está manifestando por el cambio de trazado de parte de la línea de transmisión eléctrica de alta tensión Kimal-Lo Aguirre.
Para encontrar una solución ante una situación que pone en riesgo la calidad de vida en un sector altamente poblado por adultos mayores, el senador Daniel Núñez ha apoyado a los vecinos acudiendo al Servicio de Evaluación Ambiental (SEIA) a nivel nacional, y ahora participó de una asamblea, donde se acordó la presentación de una acción legal que permita que la construcción de las torres se reevalúe sin atrasar el proyecto en su globalidad.
María Eugenia Vicencio, tesorera de la comunidad agrícola Tunga Norte, apunta contra la empresa Conexión Energía, denunciando que han ingresado a sitios con goce singular de comuneros.
«No estamos en contra del proyecto, nosotros queremos el cambio de trazado, tenemos adultos mayores con problemas de audición, hay otra comunera con marcapaso",2025-11-04T08:00:00Z,diariolaregion.cl,Comunidades de Illapel se movilizan contra trazado de la línea Kimal–Lo Aguirre y preparan acción legal,"Comunidades de Illapel se movilizan contra trazado de la línea Kimal–Lo Aguirre y preparan acción legal
Vecinos de Tunga Norte y Tunga Sur acusan falta de diálogo y riesgos para su calidad de vida: “No nos oponemos al progreso, pero sí a que se imponga sobre nuestras comunidades”. Fuente: David Noticias, 4 de noviembre de 2025.
Un creciente malestar recorre las comunidades agrícolas de Tunga Norte y Tunga Sur, en Illapel, ante el avance del proyecto de transmisión eléctrica Kimal–Lo Aguirre, impulsado por la empresa Conexión Energía. Los habitantes acusan que el trazado de la línea de alta tensión pasaría a escasos metros de viviendas y terrenos comunales, afectando directamente a adultos mayores y personas con enfermedades crónicas.
Frente a esta situación, los vecinos —acompañados por el senador Daniel Núñez— anunciaron la presentación de una acción legal para exigir el cambio de trazado y la revisión ambiental del proyecto, sin frenar su desarrollo global. “No estamos en contra del ",2025-11-06T08:00:00Z,Fundación Terram
PAIR-0008,Ingresa al Primer Tribunal Ambiental nueva demanda por daño ambiental contra Minera Escondida,"Una nueva demanda por daño ambiental contra Minera Escondida fue acogida a trámite hoy por el Primer Tribunal Ambiental. En esta oportunidad se trata de una acción presentada por la Comunidad Indígena Atacameña de Peine por lo que aseguran es el daño provocado en el sector de Tilopozo debido al uso desmedido de agua desde el acuífero Monturaqui-Negrillar-Tilopozo, ubicado en la comuna de San Pedro de Atacama.
En su demanda, caratulada como D-12-2022, la comunidad indígena asegura que la empresa minera es la causante del menoscabo al componente hídrico y a la vegetación de dicho acuífero y sustenta el líbelo en la sanción aplicada por la Superintendencia de Medio Ambiente (SMA) debido a la disminución, de más de 25 centímetros del nivel freático (nivel de agua) en el sector de Tilopozo.
El nivel de agua, como disminución máxima aceptable, había sido presentada por la propia minera en el Estudio de Impacto Ambiental (EIA) del proyecto minero y respecto al daño, para los demandantes no ex",2022-03-30T07:00:00Z,Primer Tribunal Ambiental,Admiten demanda por daño ambiental de comunidad de Peine contra Escondida,"Una nueva demanda por daño ambiental contra Minera Escondida acogió hoy el Primer Tribunal Ambiental. En esta oportunidad se trata de una acción presentada por la Comunidad Indígena Atacameña de Peine por lo que aseguran es el daño provocado en el sector de Tilopozo debido al uso desmedido de agua desde el acuífero Monturaqui-Negrillar-Tilopozo, ubicado en la comuna de San Pedro de Atacama.
En su demanda, la comunidad indígena asegura que la empresa minera es la causante del menoscabo al componente hídrico y a la vegetación de dicho acuífero y sustenta el líbelo en la sanción aplicada por la Superintendencia de Medio Ambiente (SMA) debido a la disminución, de más de 25 centímetros del nivel freático (nivel de agua) en el sector de Tilopozo.
El nivel de agua, como disminución máxima aceptable, había sido presentada por la propia minera en el Estudio de Impacto Ambiental (EIA) del proyecto minero y respecto al daño, para los demandantes no existen dudas, según se lee en el escrito: “El d",2022-03-30T07:00:00Z,Calama en Línea – Noticias
PAIR-0009,"CORFO debe cumplir con el Convenio 169 de la OIT en lo referido al proceso de consulta para asignar los recursos destinados por SQM al desarrollo de comunidades indígenas ubicadas en el Salar de Atacama, resuelve la Corte Suprema.","Title: CORFO debe cumplir con el Convenio 169 de la OIT en lo referido al proceso de consulta para asignar los recursos destinados por SQM al desarrollo de comunidades indígenas ubicadas en el Salar de Atacama, resuelve la Corte Suprema.

URL Source: https://www.diarioconstitucional.cl/2022/08/31/corfo-debe-cumplir-con-el-convenio-169-de-la-oit-en-lo-referido-al-proceso-de-consulta-para-asignar-los-recursos-destinados-por-sqm-al-desarrollo-de-comunidades-indigenas-ubicadas-en-el-salar-de-ataca

Published Time: 2022-08-31T05:10:29+00:00

Markdown Content:
CORFO debe cumplir con el Convenio 169 de la OIT en lo referido al proceso de consulta para asignar los recursos destinados por SQM al desarrollo de comunidades indígenas ubicadas en el Salar de Atacama, resuelve la Corte Suprema. - Diario Constitucional
===============

[Registrarse](https://www.diarioconstitucional.cl/2022/08/31/corfo-debe-cumplir-con-el-convenio-169-de-la-oit-en-lo-referido-al-proceso-de-consulta-para-asignar-los-re",2022-08-31T07:00:00Z,Diario Constitucional,SQM: Consejo de Pueblos Atacameño exige cumplimientos del Convenio 169 de la OIT,"La acción judicial fue interpuesta luego que el 17 de enero de este año SQM y Corfo, en representación del Estado de Chile, suscribieran un acuerdo a partir de dos contratos, mediante los cuales se triplicaron las cuotas para explotar, procesar y vender litio, negociación que se realizó sin consulta a las comunidades indígenas, tal como lo ordena el Convenio 169 de la OIT.

Este acuerdo entre Corfo y SQM, según lo expresó el exvicepresidente del organismo estatal, Eduardo Bitrán ante el Congreso Nacional, permitiría triplicar la cuota de extracción de litio, a cambio del impedimento que Julio Ponce Lerou y sus familiares directos controlaran la empresa.

Es así como este recurso de protección se alegará precisamente a un día de conocerse de que la empresa SQM rompe su acuerdo con Corfo, reincorporando a Julio Ponce Lerou como asesor estratégico.

Ana Ramos, presidenta de la Comunidad de Solor e integrante del Consejo de Pueblos Atacameños, manifestó que “con esta medida buscamos que el",2024-08-03T08:05:43Z,Fundación Terram
PAIR-0010,"Plan de 40 acciones para Concón, Quintero y Puchuncaví","El objetivo de estas acciones –que se presentan a continuación- es abordar de forma integral el problema que ocurre en estos territorios. Con medidas de rápida ejecución, que preparan el camino para la eficacia de medidas de largo plazo, buscamos transitar hacia un modelo más justo en lo social y ambiental, y por eso llamamos a este proceso Transición Socioecológica Justa. Porque para este Gobierno es necesario generar las bases para una transformación de las condiciones actuales de estos territorios, transitando hacia un desarrollo que ponga en el centro el cuidado de las personas y el medioambiente. Para ello, ha sido y será clave el fortalecimiento de los PRAS y el Consejo para la Recuperación Ambiental y Social (CRAS), con una ruta de trabajo que será de largo aliento, pero que requiere de acciones inmediatas que pavimenten este camino.
A continuación, destacamos las siguientes 40 acciones para Concón, Quintero y Puchuncaví, en que participan los Ministerios que conforman el Comité",2023-05-26T07:00:00Z,MMA – Ministerio del Medio Ambiente,Autoridades participan del cierre de Fundición Ventanas,"By on

· Junto a este cierre, el Gobierno anunció un plan de 40 acciones para Concón, Quintero y Puchuncaví.

Con la presencia de la ministra de Minería, Marcela Hernando, la titular de Medio Ambiente, Maisa Rojas, el presidente del Directorio de Codelco, Máximo Pacheco, además de representantes de los sindicatos de trabajadores, se dio la instrucción de apagado de quemador del Convertidor Teniente, con lo que se concreta el cierre definitivo de la Fundición Codelco Ventanas.

Se trata de una medida sumamente esperada por los vecinos de Concón, Quintero y Puchuncaví, ya que con ello se pone fin a una fundición que aportaba el 54% de las emisiones anuales de dióxido de azufre, un componente dañino para la salud de las personas.

Las autoridades destacaron que si bien su cierre es importante, esta no es la única fuente de emisiones. En esa zona operan 16 empresas que han contribuido al escenario actual que no es tolerable para la población, es por ello, que junto a este cierre el Gobiern",2023-05-31T07:00:00Z,Diario La Quinta
