doc_i,doc_j,w,s_ref,s_emb,dias,largo,grado_i,grado_j,triangulos,embeddedness,edge_betweenness,puente,articulacion_adyacente,ref_objeto,ref_territorio,ref_actor,idf_max_ref_compartido
39,73,0.4798,0.3356,0.8162,267,False,11,29,9,0.3103,0.007244,False,True,estrategia nacional del litio,,,0.6712
39,18021,0.8608,0.8356,0.9195,64,False,11,16,10,0.6667,0.000301,False,False,estrategia nacional del litio,socaire,comunidad atacamena de socaire,1.0
39,1064,0.5147,0.3356,0.9326,320,False,11,28,9,0.3214,0.001435,False,False,estrategia nacional del litio,,,0.6712
39,1065,0.5991,0.5004,0.8293,385,True,11,21,9,0.4286,0.000439,False,False,estrategia nacional del litio,,corfo,0.8241
39,1157,0.5036,0.3356,0.8956,336,False,11,26,10,0.4,0.000559,False,False,estrategia nacional del litio,,,0.6712
39,1159,0.5125,0.3356,0.9254,293,False,11,25,9,0.36,0.000878,False,False,estrategia nacional del litio,,,0.6712
39,1173,0.4889,0.3356,0.8467,145,False,11,25,10,0.4167,0.000524,False,False,estrategia nacional del litio,,,0.6712
39,1218,0.499,0.3356,0.8804,60,False,11,19,10,0.5556,0.000324,False,False,estrategia nacional del litio,,,0.6712
39,1237,0.5115,0.3356,0.922,317,False,11,29,9,0.3103,0.001532,False,False,estrategia nacional del litio,,,0.6712
39,2163,0.4681,0.3356,0.7774,276,False,11,24,9,0.375,0.0006,False,False,estrategia nacional del litio,,,0.6712
39,2209,0.4914,0.3356,0.8549,203,False,11,28,4,0.1212,0.008085,False,False,estrategia nacional del litio,,,0.6712
41,6416,0.7423,0.7889,0.6336,56,False,15,11,9,0.6,0.00035,False,False,estrategia nacional del litio,san pedro de atacama,consejo de pueblos atacamenos;presidente gabriel boric,0.9724
41,978,0.5968,0.4571,0.9226,1,False,15,19,12,0.6,0.000509,False,False,estrategia nacional del litio,,consejo de pueblos atacamenos,0.6712
41,983,0.5923,0.4571,0.9077,4,False,15,21,14,0.7,0.000502,False,False,estrategia nacional del litio,,consejo de pueblos atacamenos,0.6712
41,1088,0.471,0.3356,0.7868,16,False,15,16,13,0.8125,9e-05,False,False,estrategia nacional del litio,,,0.6712
41,1205,0.5735,0.4571,0.8453,14,False,15,24,14,0.6087,0.003692,False,True,estrategia nacional del litio,,consejo de pueblos atacamenos,0.6712
41,1242,0.4993,0.3356,0.8814,39,False,15,16,13,0.8125,9e-05,False,False,estrategia nacional del litio,,,0.6712
41,1244,0.6708,0.5889,0.862,57,False,15,14,11,0.6875,9.9e-05,False,False,estrategia nacional del litio,san pedro de atacama,,0.8443
41,1928,0.5936,0.4571,0.9122,1,False,15,19,12,0.6,0.000509,False,False,estrategia nacional del litio,,consejo de pueblos atacamenos,0.6712
41,1930,0.598,0.4571,0.9269,1,False,15,19,12,0.6,0.000509,False,False,estrategia nacional del litio,,consejo de pueblos atacamenos,0.6712
41,1933,0.5885,0.4571,0.8952,57,False,15,18,11,0.55,0.000516,False,False,estrategia nacional del litio,,consejo de pueblos atacamenos,0.6712
41,1954,0.5776,0.4571,0.8587,57,False,15,18,11,0.55,0.000516,False,False,estrategia nacional del litio,,consejo de pueblos atacamenos,0.6712
41,1972,0.7641,0.7104,0.8894,57,False,15,13,10,0.625,0.000106,False,False,estrategia nacional del litio,san pedro de atacama,consejo de pueblos atacamenos,0.8443
41,2206,0.4943,0.3356,0.8646,7,False,15,22,13,0.5909,0.000893,False,False,estrategia nacional del litio,,,0.6712
41,2209,0.4937,0.3356,0.8626,343,False,15,28,13,0.4643,0.003923,False,False,estrategia nacional del litio,,,0.6712
