doc_i,doc_j,w,subhilo_i,subhilo_j,cruza_subhilos_distintos
1005,1936,0.4966,acuerdo_codelco_sqm,acuerdo_codelco_sqm,False
1108,1943,0.4826,atacama_extraccion_generica,SIN_SUBHILO_ESPECIFICO,False
1149,1232,0.9841,consulta_ceol_laguna_verde,consulta_ceol_laguna_verde,False
1152,1161,0.6409,SIN_SUBHILO_ESPECIFICO,consulta_ceol_hilaricos,False
1205,1932,0.4979,SIN_SUBHILO_ESPECIFICO,SIN_SUBHILO_ESPECIFICO,False
1232,1233,0.6355,consulta_ceol_laguna_verde,SIN_SUBHILO_ESPECIFICO,False
1275,1281,0.738,proyecto_maricunga_salar_blanco,proyecto_maricunga_salar_blanco,False
1275,2120,0.4628,proyecto_maricunga_salar_blanco,SIN_SUBHILO_ESPECIFICO,False
1481,1726,0.4827,SIN_SUBHILO_ESPECIFICO,cumplimiento_ambiental_atacama,False
1536,1906,0.4889,acuerdo_codelco_sqm,acuerdo_codelco_sqm,False
1571,1941,0.6932,acuerdo_codelco_sqm,acuerdo_codelco_sqm,False
1862,1899,0.4694,acuerdo_codelco_sqm,acuerdo_codelco_sqm,False
188,1773,0.4503,cumplimiento_ambiental_atacama,SIN_SUBHILO_ESPECIFICO,False
1919,1920,0.4504,atacama_extraccion_generica,salar_futuro,True
1936,1945,0.5013,acuerdo_codelco_sqm,atacama_extraccion_generica,True
1938,1943,0.4519,acuerdo_codelco_sqm,SIN_SUBHILO_ESPECIFICO,False
1943,1945,0.4555,SIN_SUBHILO_ESPECIFICO,atacama_extraccion_generica,False
271,1275,0.4584,proyecto_maricunga_salar_blanco,proyecto_maricunga_salar_blanco,False
271,2041,0.7249,proyecto_maricunga_salar_blanco,proyecto_maricunga_salar_blanco,False
6384,1937,0.4806,acuerdo_codelco_sqm,SIN_SUBHILO_ESPECIFICO,False
6384,1946,0.4894,acuerdo_codelco_sqm,atacama_extraccion_generica,True
73,105,0.4721,SIN_SUBHILO_ESPECIFICO,atacama_extraccion_generica,False
8095,1211,0.728,proyecto_maricunga_salar_blanco,proyecto_maricunga_salar_blanco,False
