doc_id,fecha_iso,proyecto_instalacion,territorio,territorio_tipo,organizacion,organizacion_demandante_tipo,organizacion_demandada_tipo,procedimiento,procedimiento_familia,evento_fase,macrohilo_id,subhilo_primario,abstuvo,subhilo_secundario,subhilo_secundario_evidencia,multiasignado
1005,2024-01-10,explotacion de litio en el salar de atacama (acuerdo codelco-sqm),salar de atacama,salar,acuerdo codelco-sqm para explotacion de litio;consejo de pueblos atacamenos (18 comunidades),Comunidad Indígena,Empresa / Proyecto,toma de acceso / movilizacion,manifestacion_publica,manifestacion_publica::2024-01,H0000,explotacion de litio en el salar de atacama (acuerdo codelco-sqm),False,,[],False
105,2025-06-30,acuerdo de asociacion para explotacion de litio en el salar de atacama,salar de atacama,salar,"acuerdo codelco-sqm, corfo, gobierno de chile;comision investigadora de la camara de diputados",comisión parlamentaria,empresa/estado,informe parlamentario con recomendacion de anulacion,otro,otro::2025-06,H0000,acuerdo de asociacion para explotacion de litio en el salar de atacama,False,,[],False
1064,2025-09-16,estrategia nacional del litio,salar de agua amarga,salar,"comunidades colla (geoxcultuxial, chiyagua, runa urka, martires jeronimo, comunidad indigena colla comuna diego de almagro);ministerio de mineria",Comunidad Indígena,Institución Estatal,consulta indigena,participativo,participativo::2025-09,H0000,estrategia nacional del litio,False,eramet (ceol en salar de agua amarga);eramet ceol salar de agua amarga;estrategia nacional del litio / ceol salar de agua amarga,"[{""via_doc"": ""1169"", ""w"": 0.6019, ""proyecto"": ""eramet (ceol en salar de agua amarga)"", ""organizacion_compartida"": [""ministerio de mineria""]}, {""via_doc"": ""2094"", ""w"": 0.6011, ""proyecto"": ""estrategia nacional del litio / ceol salar de agua amarga"", ""organizacion_compartida"": [""ministerio de mineria""]}, {""via_doc"": ""2199"", ""w"": 0.6087, ""proyecto"": ""eramet ceol salar de agua amarga"", ""organizacion_compartida"": [""ministerio de mineria""]}]",True
1065,2025-11-20,estrategia nacional del litio,region de antofagasta,region,"comunidades atacamenas (comunidad de coyo, asociaciones de regantes y agricultores de san pedro de atacama);corfo",comunidad indigena,institucion estatal,recurso judicial,judicial,judicial::2025-11,H0000,estrategia nacional del litio,False,,[],False
1078,2025-09-24,salar futuro,salar de atacama,salar,"comunidades indigenas, codelco;sqm litio",Empresa,Comunidades Indígenas y Estado (a través de Codelco),anuncio de compromisos y avances,otro,otro::2025-09,H0000,salar futuro,False,,[],False
1088,2023-05-20,estrategia nacional del litio,salar de atacama,salar,"comunidades locales;estrategia nacional del litio, albemarle, sqm",comunidades locales,empresa|proyecto|politica publica de transicion,conflicto por recursos hidricos y oposicion social,otro,otro::2023-05,H0000,estrategia nacional del litio,False,,[],False
1108,2024-02-08,extraccion de litio en el salar de atacama,salar de atacama,salar,"comunidades atacamenas (consejo de pueblos atacamenos);sqm, codelco, gobierno de chile",Comunidad indígena,Empresa y Estado,protesta y oposicion comunitaria,manifestacion_publica,manifestacion_publica::2024-02,H0000,extraccion de litio en el salar de atacama,False,,[],False
1130,2024-09-25,explotacion de litio en el salar de atacama,salar de atacama,salar,explotacion de litio en el salar de atacama codelco;sqm,empresa,proyecto|estado,declaracion publica,manifestacion_publica,manifestacion_publica::2024-09,H0000,explotacion de litio en el salar de atacama,False,,[],False
1149,2025-12-17,ceol en laguna verde,laguna verde,locality,"comunidades colla runa urka, pai ote y sol naciente de pastos grandes;estrategia nacional del litio (ceol)",Comunidad Indígena,Proyecto Estatal,consulta indigena,participativo,participativo::2025-12,H0000,ceol en laguna verde,False,,[],False
1152,2025-11-26,estrategia nacional del litio,hilaricos,other,comunidades aymara y quechua;ministerio de mineria,Comunidad Indígena,Institución Estatal,consulta indigena,participativo,participativo::2025-11,H0000,estrategia nacional del litio,False,ceol en sector hilaricos,"[{""via_doc"": ""1161"", ""w"": 0.6409, ""proyecto"": ""ceol en sector hilaricos"", ""organizacion_compartida"": [""comunidades aymara y quechua"", ""ministerio de mineria""]}]",True
