thread_id,doc_id,fecha,familia
H0000,1781,2013-04-10,10
H0000,1821,2013-04-11,10
H0000,6449,2013-04-22,0
H0000,1804,2013-06-07,14
H0000,15187,2013-10-18,5
H0000,6460,2014-03-03,0
H0000,15188,2014-03-10,10
H0000,15195,2014-03-11,5
H0000,6003,2014-04-11,10
H0000,6450,2014-08-25,0
H0000,1779,2015-01-22,13
H0000,6437,2015-01-23,10
H0000,1783,2015-02-11,10
H0000,15193,2015-03-24,5
H0000,1825,2015-05-14,5
H0000,15176,2015-11-27,5
H0000,1747,2016-11-07,14
H0000,22508,2016-11-16,8
H0000,2804,2016-11-25,3
H0000,16808,2016-12-05,7
H0000,1672,2017-03-09,5
H0000,15191,2017-03-26,5
H0000,1697,2017-07-20,7
H0000,1644,2017-07-27,13
H0000,16805,2017-08-02,7
H0000,16801,2017-08-07,7
H0000,15169,2017-08-21,5
H0000,1737,2017-08-22,22
H0000,1700,2017-08-25,5
H0000,1612,2017-09-01,25
H0000,15172,2017-10-13,27
H0000,1272,2017-10-17,14
H0000,1740,2017-10-18,14
H0000,1581,2017-10-25,15
H0000,2810,2017-11-19,1
H0000,1649,2017-12-01,5
H0000,1675,2017-12-02,5
H0000,15177,2017-12-20,10
H0000,1032,2018-01-17,13
H0000,1770,2018-01-19,14
H0000,17003,2018-01-20,10
H0000,1696,2018-01-22,7
H0000,1813,2018-01-22,11
H0000,15158,2018-01-22,5
H0000,17376,2018-01-22,6
H0000,1793,2018-01-23,10
H0000,179,2018-02-01,13
H0000,16977,2018-02-07,11
H0000,5660,2018-03-02,2
H0000,2228,2018-03-09,5
H0000,15151,2018-03-14,5
H0000,1717,2018-04-03,27
H0000,1738,2018-04-03,7
H0000,1722,2018-04-10,5
H0000,1609,2018-06-04,14
H0000,1715,2018-06-12,5
H0000,1823,2018-07-24,5
H0000,1730,2018-08-02,7
H0000,1716,2018-08-16,25
H0000,1516,2018-09-27,14
H0000,15175,2018-10-22,10
H0000,1584,2018-10-31,14
H0000,1966,2018-11-10,14
H0000,2517,2018-11-11,14
H0000,1521,2018-11-12,14
H0000,1822,2018-11-13,11
H0000,2002,2019-01-07,14
H0000,1598,2019-01-22,14
H0000,1620,2019-02-18,25
H0000,16807,2019-03-04,3
H0000,1605,2019-03-07,27
H0000,1695,2019-03-14,5
H0000,1703,2019-03-18,7
H0000,16975,2019-03-21,5
H0000,837,2019-03-29,23
H0000,2435,2019-03-29,23
H0000,1953,2019-04-15,25
H0000,1947,2019-04-16,25
H0000,1967,2019-05-07,13
H0000,2172,2019-06-03,10
H0000,1957,2019-06-03,0
H0000,5140,2019-06-05,1
H0000,2801,2019-08-01,27
H0000,1908,2019-08-15,7
H0000,6382,2019-09-10,16
H0000,6837,2019-09-10,10
H0000,7158,2019-10-07,10
H0000,15156,2019-10-09,7
H0000,6001,2019-10-11,10
H0000,8046,2019-10-29,22
H0000,1273,2019-12-26,14
H0000,42,2019-12-27,14
H0000,1270,2019-12-27,14
H0000,7260,2020-01-09,10
H0000,6059,2020-01-15,10
H0000,19481,2020-01-20,1
H0000,3415,2020-01-20,1
H0000,3418,2020-01-23,10
H0000,6963,2020-02-04,15
H0000,6987,2020-02-04,15
H0000,6996,2020-02-04,15
H0000,7026,2020-02-04,15
H0000,1491,2020-02-05,16
H0000,6977,2020-02-05,15
H0000,1522,2020-02-10,25
H0000,1142,2020-02-11,14
H0000,15179,2020-02-17,10
H0000,13827,2020-02-24,7
H0000,1625,2020-03-04,27
H0000,8056,2020-05-19,16
H0000,2788,2020-05-19,1
H0000,1699,2020-05-30,5
H0000,17608,2020-06-26,27
H0000,1772,2020-07-06,13
H0000,17609,2020-07-08,7
H0000,1280,2020-07-28,14
H0000,5161,2020-08-04,2
H0000,11799,2020-08-06,1
H0000,1778,2020-08-09,2
H0000,5154,2020-08-11,1
H0000,1517,2020-08-21,13
H0000,358,2020-08-26,25
H0000,1274,2020-08-26,13
H0000,1477,2020-09-03,14
H0000,1807,2020-09-17,14
H0000,1810,2020-09-17,14
H0000,15185,2020-09-17,10
H0000,4376,2020-09-22,27
H0000,5141,2020-10-27,2
H0000,291,2020-11-02,13
H0000,1948,2020-11-03,13
H0000,19484,2020-11-04,1
H0000,1805,2020-11-11,5
H0000,1523,2020-11-17,14
H0000,1135,2020-12-02,11
H0000,6047,2020-12-11,0
H0000,397,2021-01-26,25
