thread_id,doc_id,fecha,familia
H0000,1761,2022-09-15,11
H0000,1205,2023-04-20,-1
H0000,1932,2023-04-21,-1
H0000,41,2023-05-04,13
H0000,970,2023-05-04,25
H0000,2210,2023-05-04,25
H0000,978,2023-05-05,13
H0000,1928,2023-05-05,13
H0000,1930,2023-05-05,13
H0000,983,2023-05-08,25
H0000,2211,2023-05-10,25
H0000,2206,2023-05-11,13
H0000,1088,2023-05-20,11
H0000,1242,2023-06-12,13
H0000,1551,2023-06-15,13
H0000,6416,2023-06-29,13
H0000,1244,2023-06-30,-1
H0000,1933,2023-06-30,13
H0000,1954,2023-06-30,13
H0000,1972,2023-06-30,13
H0000,301,2023-07-03,25
H0000,271,2023-07-06,11
H0000,18028,2023-07-11,13
H0000,1986,2023-08-26,13
H0000,1277,2023-10-26,13
H0000,16980,2023-11-09,13
H0000,1275,2023-11-10,11
H0000,1618,2023-12-15,13
H0000,1725,2023-12-27,5
H0000,6380,2023-12-28,0
H0000,1919,2023-12-28,13
H0000,1926,2023-12-28,13
H0000,1934,2023-12-28,13
H0000,1949,2023-12-28,5
H0000,1970,2023-12-28,5
H0000,1917,2023-12-29,13
H0000,1920,2023-12-29,13
H0000,1923,2023-12-29,13
H0000,1921,2024-01-06,13
H0000,1938,2024-01-09,13
H0000,6384,2024-01-10,13
H0000,1005,2024-01-10,13
H0000,1945,2024-01-10,13
H0000,1936,2024-01-11,13
H0000,1943,2024-01-11,13
H0000,1941,2024-01-12,13
H0000,1937,2024-01-13,13
H0000,1946,2024-01-13,13
H0000,1951,2024-01-13,13
H0000,1225,2024-01-16,13
H0000,1509,2024-01-22,11
H0000,1732,2024-01-22,11
H0000,1108,2024-02-08,25
H0000,1569,2024-02-16,13
H0000,1573,2024-02-17,13
H0000,9084,2024-03-03,13
H0000,1571,2024-03-12,13
H0000,2848,2024-03-14,25
H0000,2120,2024-03-26,-1
H0000,2209,2024-04-11,13
H0000,2018,2024-04-19,13
H0000,1281,2024-05-09,5
H0000,1568,2024-05-28,13
H0000,1284,2024-05-30,5
H0000,1250,2024-05-31,25
H0000,1515,2024-05-31,5
H0000,1925,2024-05-31,13
H0000,150,2024-06-03,13
H0000,1726,2024-06-13,14
H0000,5763,2024-06-14,2
H0000,1550,2024-06-25,13
H0000,1503,2024-06-27,14
H0000,1339,2024-07-25,13
H0000,1130,2024-09-25,14
H0000,39,2024-10-31,13
H0000,1789,2024-11-26,14
H0000,1580,2024-12-04,13
H0000,1218,2024-12-30,-1
H0000,1481,2025-01-02,14
H0000,18021,2025-01-03,-1
H0000,1576,2025-01-09,13
H0000,1211,2025-01-14,11
H0000,1279,2025-01-28,5
H0000,1173,2025-03-25,11
H0000,1711,2025-04-24,5
H0000,1724,2025-04-24,5
H0000,1858,2025-05-20,5
H0000,1176,2025-05-29,13
H0000,1536,2025-06-12,13
H0000,1463,2025-06-19,14
H0000,105,2025-06-30,5
H0000,1869,2025-06-30,5
H0000,1895,2025-06-30,5
H0000,1873,2025-07-01,5
H0000,1899,2025-07-01,5
H0000,1906,2025-07-15,13
H0000,1691,2025-07-16,13
H0000,1535,2025-07-17,13
H0000,1893,2025-07-17,5
H0000,73,2025-07-25,11
H0000,305,2025-07-31,13
H0000,1259,2025-07-31,11
H0000,1260,2025-08-01,13
H0000,1678,2025-08-01,11
H0000,2163,2025-08-03,25
H0000,1471,2025-08-08,14
H0000,8095,2025-08-18,25
H0000,1159,2025-08-20,11
H0000,1386,2025-08-21,14
H0000,1671,2025-09-01,5
H0000,1892,2025-09-01,5
H0000,1237,2025-09-13,13
H0000,1169,2025-09-14,13
H0000,2094,2025-09-14,13
H0000,1177,2025-09-15,13
H0000,2199,2025-09-15,13
H0000,1064,2025-09-16,13
H0000,84,2025-09-20,25
H0000,306,2025-09-21,25
H0000,1669,2025-09-22,13
H0000,1860,2025-09-22,5
H0000,1661,2025-09-23,-1
H0000,1078,2025-09-24,11
H0000,1162,2025-09-29,13
H0000,1656,2025-09-29,14
H0000,188,2025-09-30,14
H0000,1157,2025-10-02,13
H0000,1774,2025-10-09,14
H0000,8538,2025-10-12,18
H0000,1461,2025-10-16,14
H0000,1773,2025-10-17,14
H0000,1462,2025-10-22,13
H0000,1690,2025-10-26,5
H0000,1904,2025-10-27,5
H0000,1641,2025-11-10,5
H0000,1844,2025-11-10,5
H0000,1855,2025-11-10,5
H0000,1862,2025-11-10,5
H0000,1888,2025-11-10,5
H0000,1885,2025-11-11,5
H0000,1859,2025-11-14,5
H0000,1065,2025-11-20,25
H0000,1872,2025-11-22,5
H0000,1161,2025-11-25,13
H0000,1152,2025-11-26,13
H0000,1871,2025-12-03,5
H0000,1903,2025-12-10,5
H0000,1232,2025-12-16,13
H0000,1890,2025-12-16,5
H0000,1149,2025-12-17,13
H0000,1233,2025-12-17,13
H0000,1470,2025-12-19,5
