doc_i,doc_j,dias,s_ref,s_emb,w
39,73,267,0.3356,0.8162,0.4798
39,18021,64,0.8356,0.9195,0.8608
39,1064,320,0.3356,0.9326,0.5147
39,1065,385,0.5004,0.8293,0.5991
39,1157,336,0.3356,0.8956,0.5036
39,1159,293,0.3356,0.9254,0.5125
39,1173,145,0.3356,0.8467,0.4889
39,1218,60,0.3356,0.8804,0.499
39,1237,317,0.3356,0.922,0.5115
39,2163,276,0.3356,0.7774,0.4681
39,2209,203,0.3356,0.8549,0.4914
41,6416,56,0.7889,0.6336,0.7423
41,978,1,0.4571,0.9226,0.5968
41,983,4,0.4571,0.9077,0.5923
41,1088,16,0.3356,0.7868,0.471
41,1205,14,0.4571,0.8453,0.5735
41,1242,39,0.3356,0.8814,0.4993
41,1244,57,0.5889,0.862,0.6708
41,1928,1,0.4571,0.9122,0.5936
41,1930,1,0.4571,0.9269,0.598
41,1933,57,0.4571,0.8952,0.5885
41,1954,57,0.4571,0.8587,0.5776
41,1972,57,0.7104,0.8894,0.7641
41,2206,7,0.3356,0.8646,0.4943
41,2209,343,0.3356,0.8626,0.4937
41,2211,6,0.3356,0.7408,0.4571
42,1280,214,0.2582,0.941,0.463
73,105,25,0.3123,0.8447,0.4721
73,18021,203,0.3356,0.7981,0.4743
73,1064,53,0.3356,0.8779,0.4983
73,1065,118,0.3356,0.7714,0.4663
73,1152,124,0.3356,0.8068,0.4769
73,1153,189,0.3356,0.8019,0.4755
73,1157,69,0.3356,0.8207,0.4811
73,1159,26,0.4479,0.871,0.5749
73,1173,122,0.4479,0.9234,0.5906
73,1218,207,0.3356,0.8086,0.4775
73,1229,193,0.3356,0.799,0.4746
73,1233,145,0.3356,0.8292,0.4837
73,1237,50,0.3356,0.8925,0.5027
73,1653,147,0.4479,0.8589,0.5712
73,1852,187,0.619,0.7833,0.6683
73,1859,112,0.2834,0.8705,0.4596
73,1868,151,0.4479,0.8254,0.5612
73,1870,153,0.4479,0.8616,0.572
73,1887,147,0.2834,0.8507,0.4536
73,1889,147,0.2834,0.8492,0.4532
73,1893,8,0.2834,0.8506,0.4536
73,1909,189,0.4479,0.7835,0.5486
73,1910,189,0.4479,0.7827,0.5484
73,1911,189,0.4479,0.7664,0.5435
73,1912,189,0.3356,0.7406,0.4571
73,1913,189,0.4479,0.7809,0.5478
73,1915,189,0.3356,0.7895,0.4718
73,2163,9,0.3356,0.8581,0.4923
78,185,1,0.7599,0.9403,0.814
84,1671,19,0.6123,0.7287,0.6472
84,1945,619,0.6123,0.7042,0.6399
135,185,1,0.7457,0.961,0.8103
150,9084,92,0.2791,0.8787,0.459
150,1725,159,0.6123,0.8518,0.6842
150,1921,149,0.3123,0.9277,0.4969
150,1925,3,0.3123,0.9758,0.5114
150,1934,158,0.7339,0.951,0.799
150,1949,158,0.6123,0.8873,0.6948
150,1970,158,0.8123,0.8883,0.8351
164,180,1,0.4533,0.9095,0.5902
185,189,1,0.7457,0.961,0.8103
185,223,1,0.7457,0.9613,0.8104
185,1465,1,0.7599,0.9871,0.8281
185,1775,1,0.3123,0.9661,0.5085
185,1777,1,0.6563,0.821,0.7057
188,1773,17,0.2553,0.9053,0.4503
210,1595,12,0.3123,0.8917,0.4861
271,1275,127,0.2791,0.8766,0.4584
271,2041,952,0.672,0.8483,0.7249
272,1048,793,0.672,0.815,0.7149
272,1282,232,0.672,0.9087,0.743
280,288,42,0.672,0.5599,0.6384
301,306,811,0.672,0.8532,0.7264
301,5763,347,0.672,0.5271,0.6285
301,1225,197,0.3511,0.7944,0.4841
301,1275,130,0.3511,0.8302,0.4948
301,1277,115,0.3511,0.7979,0.4851
301,1551,18,0.3511,0.8192,0.4915
301,2206,53,0.3511,0.8109,0.489
301,2209,283,0.3511,0.8196,0.4916
305,1260,1,0.6466,0.9705,0.7438
305,1277,644,0.6466,0.8192,0.6984
305,1279,184,0.6466,0.7123,0.6663
305,1284,427,0.6466,0.7393,0.6744
305,1339,371,0.6466,0.9139,0.7268
306,5763,464,0.7791,0.4965,0.6943
370,6911,4,0.2533,0.9238,0.4544
418,422,281,0.6482,0.8517,0.7093
424,432,506,0.6836,0.8826,0.7433
428,2244,228,0.5,0.7827,0.5848
428,2257,228,0.5,0.778,0.5834
470,11890,532,0.7,0.95,0.775
470,11899,284,0.5963,0.9545,0.7038
470,11931,301,0.5,0.9506,0.6352
470,19224,70,0.5963,0.9152,0.692
470,19227,81,0.2786,0.943,0.4779
482,11800,310,0.5,0.6135,0.5341
563,9023,152,0.3,0.8668,0.47
563,2292,973,0.5,0.5423,0.5127
563,2305,976,0.5,0.6892,0.5568
565,588,357,0.3727,0.6807,0.4651
565,2906,345,0.3727,0.7749,0.4934
565,10049,11,0.3727,0.6833,0.4659
565,10169,10,0.3727,0.737,0.482
565,22315,12,0.4493,0.5742,0.4868
565,22344,10,0.3727,0.662,0.4595
565,22353,4,0.3727,0.6509,0.4561
565,22356,12,0.4493,0.6703,0.5156
565,2976,337,0.4493,0.644,0.5077
565,3199,335,0.3727,0.659,0.4586
565,3219,5,0.3727,0.689,0.4676
565,3232,12,0.3727,0.7008,0.4711
565,3245,12,0.3727,0.6808,0.4651
565,3246,338,0.3727,0.7094,0.4737
565,3257,8,0.3727,0.6732,0.4628
565,3260,322,0.3727,0.6591,0.4586
565,3265,335,0.3727,0.6772,0.4641
565,3266,13,0.3727,0.6535,0.4569
565,3275,13,0.3727,0.6464,0.4548
565,3283,250,0.3727,0.6684,0.4614
565,3284,336,0.3727,0.7019,0.4715
565,6723,16,0.3727,0.6806,0.4651
565,6724,335,0.3727,0.6917,0.4684
565,6727,10,0.3727,0.6722,0.4625
565,6739,7,0.3727,0.6595,0.4587
565,7235,335,0.5563,0.7153,0.604
565,7237,294,0.3727,0.6326,0.4507
588,592,175,0.4138,0.9272,0.5678
588,597,22,0.4138,0.8689,0.5503
588,616,365,0.5209,0.8679,0.625
588,2906,12,0.5209,0.6763,0.5675
588,22266,325,0.5209,0.8707,0.6258
588,22309,367,0.6138,0.9055,0.7013
588,22311,367,0.5209,0.8417,0.6171
588,22319,365,0.4138,0.8511,0.545
588,22339,364,0.3727,0.8188,0.5065
588,22344,367,0.5209,0.8794,0.6284
588,22346,357,0.2553,0.93,0.4577
588,22353,361,0.3727,0.8894,0.5277
588,22359,361,0.6138,0.8939,0.6978
588,22360,368,0.5209,0.8675,0.6249
588,2932,21,0.4138,0.8718,0.5512
588,2957,359,0.4138,0.8326,0.5395
588,3193,825,0.5209,0.6895,0.5715
588,3197,367,0.5209,0.8126,0.6084
588,3199,22,0.5209,0.9313,0.644
588,3203,22,0.5209,0.8776,0.6279
588,3210,22,0.4138,0.7584,0.5172
588,3211,322,0.5209,0.8397,0.6165
588,3212,322,0.4138,0.8192,0.5354
588,3218,99,0.4138,0.8511,0.545
588,3219,362,0.5209,0.9285,0.6432
588,3221,22,0.4138,0.8674,0.5499
588,3223,352,0.2656,0.8978,0.4553
588,3225,63,0.4138,0.9017,0.5602
588,3227,360,0.4138,0.886,0.5555
588,3229,135,0.5209,0.8926,0.6324
588,3230,354,0.4138,0.903,0.5606
588,3232,369,0.5209,0.9546,0.651
588,3233,365,0.4138,0.8983,0.5592
588,3234,108,0.4138,0.8918,0.5572
588,3236,63,0.4138,0.895,0.5582
588,3240,344,0.5209,0.9386,0.6462
588,3241,103,0.5209,0.9177,0.6399
588,3242,247,0.4138,0.8512,0.545
588,3244,23,0.4138,0.956,0.5765
588,3245,369,0.5209,0.8957,0.6333
588,3246,19,0.5209,0.9393,0.6464
588,3247,32,0.4138,0.8877,0.556
588,3253,22,0.4138,0.9354,0.5703
588,3257,365,0.5209,0.9134,0.6387
588,3259,317,0.4138,0.8444,0.543
588,3260,35,0.5209,0.9495,0.6495
588,3262,399,0.5209,0.9245,0.642
588,3265,22,0.3727,0.8761,0.5237
588,3266,370,0.5209,0.9279,0.643
588,3268,103,0.4138,0.9043,0.561
588,3272,352,0.4138,0.8893,0.5565
588,3273,106,0.4138,0.8248,0.5371
588,3275,370,0.5209,0.9175,0.6399
588,3277,357,0.5209,0.906,0.6364
588,3278,22,0.4138,0.9146,0.5641
588,3281,367,0.5209,0.8857,0.6303
588,3282,316,0.4138,0.8922,0.5573
588,3283,107,0.5209,0.8391,0.6164
588,3284,21,0.5209,0.9464,0.6485
588,6723,341,0.5209,0.8953,0.6332
588,6724,22,0.5209,0.7739,0.5968
588,6727,367,0.5209,0.8644,0.624
588,6735,95,0.5209,0.9399,0.6466
588,6736,370,0.5209,0.8997,0.6345
588,6737,370,0.5209,0.8795,0.6285
