doc_i,doc_j,dias,s_ref,w
34,5198,10,0.1239,0.2684
34,5432,342,0.1239,0.2599
34,6263,271,0.1239,0.2997
34,16985,9,0.2533,0.3315
34,16995,57,0.2533,0.375
34,18021,270,0.1239,0.3553
34,18498,64,0.1239,0.2466
34,404,296,0.2533,0.3771
34,554,121,0.1239,0.2639
34,849,92,0.1239,0.2849
34,1166,81,0.2533,0.4248
34,1474,181,0.2533,0.3674
34,1868,84,0.1239,0.3167
34,1870,86,0.1239,0.3253
34,1910,122,0.1239,0.3447
34,1911,122,0.1239,0.3512
34,2039,135,0.1239,0.3258
34,2040,135,0.1239,0.3108
34,2044,135,0.1239,0.3375
34,2045,135,0.1239,0.2985
34,2047,135,0.1239,0.3376
34,2050,135,0.1239,0.2845
34,2053,135,0.1239,0.3184
34,2054,135,0.1239,0.3124
34,2056,135,0.1239,0.3157
34,2060,135,0.1239,0.3055
34,2061,135,0.1239,0.3297
34,3037,13,0.1239,0.2627
34,3051,12,0.1239,0.2621
34,4574,153,0.1239,0.2467
39,73,267,0.3356,0.4798
39,8521,258,0.1648,0.2823
39,18021,64,0.8356,0.8608
39,1064,320,0.3356,0.5147
39,1065,385,0.5004,0.5991
39,1157,336,0.3356,0.5036
39,1159,293,0.3356,0.5125
39,1173,145,0.3356,0.4889
39,1218,60,0.3356,0.499
39,1237,317,0.3356,0.5115
39,1566,57,0.2,0.3599
39,1661,327,0.1648,0.3808
39,1691,258,0.1648,0.3441
39,1792,169,0.1648,0.3614
39,1794,169,0.1648,0.3687
39,1808,168,0.1648,0.3499
39,1860,326,0.1648,0.3595
39,2163,276,0.3356,0.4681
39,2209,203,0.3356,0.4914
39,5824,332,0.1648,0.2907
41,210,251,0.1945,0.3904
41,1769,258,0.1945,0.3337
41,6373,254,0.1215,0.2854
41,6380,238,0.1215,0.3137
41,6383,252,0.1215,0.2911
41,6384,251,0.1215,0.3543
41,6416,56,0.7889,0.7423
41,16980,189,0.1215,0.3365
41,18028,68,0.1215,0.3507
41,978,1,0.4571,0.5968
41,983,4,0.4571,0.5923
41,1088,16,0.3356,0.471
41,1105,5,0.1215,0.3435
41,1205,14,0.4571,0.5735
41,1242,39,0.3356,0.4993
41,1244,57,0.5889,0.6708
41,1486,271,0.1215,0.3067
41,1524,110,0.2533,0.3667
41,1573,289,0.1215,0.354
41,1589,273,0.1215,0.2985
41,1618,225,0.1215,0.3439
41,1917,239,0.1215,0.3318
41,1919,238,0.1215,0.3365
41,1920,239,0.1215,0.3452
41,1921,247,0.1215,0.3383
41,1923,239,0.1215,0.3426
41,1926,238,0.1215,0.3402
41,1928,1,0.4571,0.5936
41,1930,1,0.4571,0.598
41,1931,238,0.1215,0.3259
41,1932,13,0.1215,0.3509
41,1933,57,0.4571,0.5885
41,1934,238,0.1215,0.3491
41,1936,252,0.1215,0.3492
41,1937,254,0.1215,0.3448
41,1938,250,0.1215,0.3585
41,1939,20,0.1215,0.3246
41,1940,258,0.1215,0.3609
41,1941,253,0.1215,0.3611
41,1943,252,0.1215,0.3592
41,1945,251,0.1215,0.3579
41,1946,254,0.1215,0.3501
41,1951,254,0.1215,0.3591
41,1952,250,0.1215,0.3348
41,1954,57,0.4571,0.5776
41,1970,238,0.1215,0.3273
41,1972,57,0.7104,0.7641
41,2206,7,0.3356,0.4943
41,2209,343,0.3356,0.4937
41,2211,6,0.3356,0.4571
42,358,243,0.1123,0.3284
42,6382,108,0.1123,0.2715
42,6490,305,0.1458,0.2932
42,16975,281,0.1123,0.2811
42,1135,341,0.1123,0.3087
42,1142,46,0.1123,0.3447
42,1273,1,0.1123,0.3439
42,1274,243,0.1123,0.3508
42,1280,214,0.2582,0.463
42,1477,251,0.1123,0.3527
42,1491,40,0.1123,0.3288
42,1517,238,0.1123,0.3465
42,1522,45,0.1123,0.3451
42,1523,326,0.1123,0.3474
42,1598,339,0.1123,0.3452
42,1805,320,0.1123,0.3215
42,1908,134,0.1123,0.3052
42,1947,255,0.1123,0.3069
42,1948,312,0.1123,0.3373
42,1953,256,0.1123,0.323
42,1967,234,0.2582,0.4413
42,2002,354,0.1123,0.333
42,6963,39,0.1123,0.3084
42,6987,39,0.1123,0.3311
42,6996,39,0.1123,0.3027
42,7026,39,0.1123,0.2974
67,73,68,0.1123,0.3284
67,78,1,0.2087,0.4248
67,84,11,0.1123,0.3164
67,93,15,0.1123,0.3192
67,105,93,0.1123,0.3259
67,135,1,0.1123,0.3597
67,188,1,0.1123,0.3534
67,189,1,0.1123,0.3597
67,223,1,0.1123,0.3595
67,3942,15,0.0963,0.2745
67,7226,229,0.0963,0.2643
67,7319,20,0.0963,0.2815
67,7475,51,0.0963,0.2661
67,7495,86,0.0963,0.3311
