thread_id,doc_id,fecha,familia
H0000,1205,2023-04-20,-1
H0000,1932,2023-04-21,-1
H0000,41,2023-05-04,13
H0000,970,2023-05-04,25
H0000,2210,2023-05-04,25
H0000,978,2023-05-05,13
H0000,1928,2023-05-05,13
H0000,1930,2023-05-05,13
H0000,983,2023-05-08,25
H0000,2211,2023-05-10,25
H0000,2206,2023-05-11,13
H0000,1088,2023-05-20,11
H0000,1242,2023-06-12,13
H0000,1551,2023-06-15,13
H0000,6416,2023-06-29,13
H0000,1244,2023-06-30,-1
H0000,1933,2023-06-30,13
H0000,1954,2023-06-30,13
H0000,1972,2023-06-30,13
H0000,301,2023-07-03,25
H0000,271,2023-07-06,11
H0000,18028,2023-07-11,13
H0000,1986,2023-08-26,13
H0000,1277,2023-10-26,13
H0000,16980,2023-11-09,13
H0000,1275,2023-11-10,11
H0000,1618,2023-12-15,13
H0000,1725,2023-12-27,5
H0000,6380,2023-12-28,0
H0000,1919,2023-12-28,13
H0000,1926,2023-12-28,13
H0000,1934,2023-12-28,13
H0000,1949,2023-12-28,5
H0000,1970,2023-12-28,5
H0000,1917,2023-12-29,13
H0000,1920,2023-12-29,13
H0000,1923,2023-12-29,13
H0000,1921,2024-01-06,13
H0000,1938,2024-01-09,13
H0000,6384,2024-01-10,13
H0000,1005,2024-01-10,13
H0000,1945,2024-01-10,13
H0000,1936,2024-01-11,13
H0000,1943,2024-01-11,13
H0000,1941,2024-01-12,13
H0000,1937,2024-01-13,13
H0000,1946,2024-01-13,13
H0000,1951,2024-01-13,13
H0000,1225,2024-01-16,13
H0000,1509,2024-01-22,11
H0000,1732,2024-01-22,11
H0000,1108,2024-02-08,25
H0000,1569,2024-02-16,13
H0000,1573,2024-02-17,13
H0000,9084,2024-03-03,13
H0000,1571,2024-03-12,13
H0000,2848,2024-03-14,25
H0000,2120,2024-03-26,-1
H0000,2209,2024-04-11,13
H0000,2018,2024-04-19,13
H0000,1281,2024-05-09,5
H0000,1568,2024-05-28,13
H0000,1284,2024-05-30,5
H0000,1250,2024-05-31,25
H0000,1515,2024-05-31,5
H0000,1925,2024-05-31,13
H0000,150,2024-06-03,13
H0000,1726,2024-06-13,14
H0000,5763,2024-06-14,2
H0000,1550,2024-06-25,13
H0000,1503,2024-06-27,14
H0000,1339,2024-07-25,13
H0000,1130,2024-09-25,14
H0000,39,2024-10-31,13
H0000,1789,2024-11-26,14
H0000,1580,2024-12-04,13
H0000,1218,2024-12-30,-1
H0000,1481,2025-01-02,14
H0000,18021,2025-01-03,-1
H0000,1576,2025-01-09,13
H0000,1211,2025-01-14,11
H0000,1279,2025-01-28,5
H0000,1173,2025-03-25,11
H0000,1176,2025-05-29,13
H0000,1536,2025-06-12,13
H0000,1463,2025-06-19,14
H0000,105,2025-06-30,5
H0000,1895,2025-06-30,5
H0000,1899,2025-07-01,5
H0000,1906,2025-07-15,13
H0000,1691,2025-07-16,13
H0000,1535,2025-07-17,13
H0000,1893,2025-07-17,5
H0000,73,2025-07-25,11
H0000,305,2025-07-31,13
H0000,1259,2025-07-31,11
H0000,1260,2025-08-01,13
H0000,1678,2025-08-01,11
H0000,2163,2025-08-03,25
H0000,1471,2025-08-08,14
H0000,8095,2025-08-18,25
H0000,1159,2025-08-20,11
H0000,1386,2025-08-21,14
H0000,1671,2025-09-01,5
H0000,1892,2025-09-01,5
H0000,1237,2025-09-13,13
H0000,1169,2025-09-14,13
H0000,2094,2025-09-14,13
H0000,1177,2025-09-15,13
H0000,2199,2025-09-15,13
H0000,1064,2025-09-16,13
H0000,84,2025-09-20,25
H0000,306,2025-09-21,25
H0000,1669,2025-09-22,13
H0000,1860,2025-09-22,5
H0000,1661,2025-09-23,-1
H0000,1078,2025-09-24,11
H0000,1162,2025-09-29,13
H0000,1656,2025-09-29,14
H0000,188,2025-09-30,14
H0000,1157,2025-10-02,13
H0000,1774,2025-10-09,14
H0000,8538,2025-10-12,18
H0000,1461,2025-10-16,14
H0000,1773,2025-10-17,14
H0000,1462,2025-10-22,13
H0000,1690,2025-10-26,5
H0000,1904,2025-10-27,5
H0000,1862,2025-11-10,5
H0000,1888,2025-11-10,5
H0000,1885,2025-11-11,5
H0000,1859,2025-11-14,5
H0000,1065,2025-11-20,25
H0000,1872,2025-11-22,5
H0000,1161,2025-11-25,13
H0000,1152,2025-11-26,13
H0000,1871,2025-12-03,5
H0000,1903,2025-12-10,5
H0000,1232,2025-12-16,13
H0000,1890,2025-12-16,5
H0000,1149,2025-12-17,13
H0000,1233,2025-12-17,13
H0000,1470,2025-12-19,5
H0000,1653,2025-12-19,5
H0000,1704,2025-12-19,5
H0000,1843,2025-12-19,5
H0000,1846,2025-12-19,5
H0000,1881,2025-12-19,5
H0000,1887,2025-12-19,5
H0000,1889,2025-12-19,5
H0000,1900,2025-12-19,5
H0000,1905,2025-12-19,5
H0000,1874,2025-12-20,5
H0000,1868,2025-12-23,5
H0000,1902,2025-12-23,5
H0000,1870,2025-12-25,5
H0000,1840,2026-01-13,5
H0000,1861,2026-01-27,5
H0000,1852,2026-01-28,5
H0000,1153,2026-01-30,-1
H0000,1909,2026-01-30,-1
H0000,1910,2026-01-30,-1
H0000,1911,2026-01-30,13
H0000,1912,2026-01-30,13
H0000,1913,2026-01-30,13
H0000,1915,2026-01-30,-1
H0000,1988,2026-01-30,-1
H0000,1229,2026-02-03,13
H0000,2041,2026-02-12,-1
H0001,16808,2016-12-05,7
H0001,1672,2017-03-09,5
H0001,1697,2017-07-20,7
H0001,16801,2017-08-07,7
H0001,15169,2017-08-21,5
H0001,1737,2017-08-22,22
H0001,1700,2017-08-25,5
H0001,1612,2017-09-01,25
H0001,15172,2017-10-13,27
H0001,1740,2017-10-18,14
H0001,1649,2017-12-01,5
H0001,1675,2017-12-02,5
H0001,1696,2018-01-22,7
H0001,15158,2018-01-22,5
H0001,15151,2018-03-14,5
H0001,1717,2018-04-03,27
H0001,1738,2018-04-03,7
H0001,1715,2018-06-12,5
H0001,1716,2018-08-16,25
H0001,1620,2019-02-18,25
H0001,16807,2019-03-04,3
H0001,1638,2021-04-21,7
H0001,1734,2021-04-28,22
H0001,1615,2021-08-11,-1
H0001,1628,2021-08-11,-1
H0001,1629,2021-08-11,25
H0001,1631,2021-08-11,-1
H0001,1670,2021-08-11,7
H0001,15142,2021-08-11,7
H0001,1626,2021-08-12,7
H0001,1637,2021-08-12,7
H0001,16802,2021-08-12,7
H0001,1741,2021-08-13,14
H0001,18334,2021-08-13,7
H0001,1611,2021-08-14,25
H0001,1718,2021-08-16,5
H0001,16793,2021-08-28,7
H0001,16800,2021-09-28,11
H0001,1610,2021-10-05,25
H0001,1639,2021-10-05,7
H0001,1729,2021-10-19,14
H0001,1745,2021-10-27,27
H0001,1602,2021-11-17,7
H0001,1634,2022-01-12,7
H0001,15138,2022-01-12,27
H0001,23170,2022-01-12,7
H0001,16813,2022-01-13,8
H0001,1665,2022-01-17,5
H0001,1614,2022-04-07,25
H0001,1668,2022-04-07,11
H0001,15146,2022-04-07,5
H0001,1709,2022-04-25,5
H0001,15166,2022-07-21,7
H0001,16798,2022-12-29,15
H0001,1721,2022-12-31,5
H0001,1647,2023-01-11,5
H0001,1597,2023-01-13,27
H0001,1743,2023-01-14,11
H0001,1731,2023-01-15,22
H0001,1710,2023-01-17,5
H0001,1604,2023-01-18,7
H0001,1613,2023-01-18,25
H0001,1640,2023-01-18,5
H0001,1664,2023-01-18,5
H0001,1666,2023-01-18,7
H0001,1727,2023-01-18,7
H0001,8775,2023-01-18,7
H0001,15141,2023-01-18,5
H0001,15148,2023-01-18,7
H0001,16803,2023-01-18,7
H0001,16804,2023-01-18,7
H0001,17369,2023-01-19,6
H0001,23164,2023-01-19,7
H0001,1735,2023-01-20,7
H0001,16812,2023-02-24,7
H0001,1680,2023-06-30,5
H0001,15137,2023-06-30,7
H0001,15152,2023-07-28,5
H0001,1663,2023-12-20,5
H0001,1682,2023-12-21,5
H0001,15154,2023-12-26,7
H0001,1658,2024-12-10,5
H0001,7166,2024-12-10,10
H0001,7179,2024-12-10,10
H0001,7212,2024-12-10,7
H0001,7216,2024-12-10,7
H0001,16797,2024-12-10,11
H0001,15164,2024-12-11,5
H0001,1588,2024-12-12,25
H0001,15132,2024-12-12,7
H0001,1692,2024-12-16,5
H0001,1688,2024-12-17,7
H0001,7165,2024-12-17,10
H0001,15157,2024-12-17,5
H0001,5870,2024-12-18,27
H0001,15123,2024-12-19,7
H0001,1689,2024-12-22,5
H0001,18323,2024-12-23,7
H0001,23173,2024-12-23,7
H0001,1591,2024-12-27,15
H0001,1686,2024-12-27,27
H0001,16792,2024-12-30,7
H0001,17279,2024-12-31,7
H0001,7205,2025-01-02,7
H0001,15130,2025-01-04,27
H0001,1572,2025-01-07,13
H0001,1559,2025-01-08,13
H0001,1586,2025-01-08,13
H0001,1662,2025-01-08,5
H0001,16794,2025-01-08,7
H0001,16796,2025-01-08,22
H0001,1563,2025-01-09,25
H0001,1713,2025-01-09,5
H0001,1719,2025-01-09,7
H0001,7185,2025-01-09,27
H0001,15126,2025-01-09,7
H0001,1565,2025-01-10,27
H0001,1594,2025-01-10,7
H0001,15131,2025-01-10,7
H0001,1590,2025-02-10,27
H0001,17282,2025-02-17,7
H0001,7181,2025-02-18,11
H0001,7186,2025-02-18,7
H0001,7189,2025-02-18,7
H0001,7215,2025-02-18,7
H0001,15127,2025-02-18,7
H0001,17268,2025-02-18,7
H0001,17275,2025-03-25,7
H0001,1679,2025-05-07,5
H0001,19050,2025-05-17,7
H0001,1676,2025-05-20,5
H0001,1677,2025-05-20,7
H0001,1685,2025-05-27,5
H0001,7170,2025-05-30,5
H0001,1570,2025-06-03,13
H0001,7137,2025-06-12,7
H0001,7190,2025-06-12,10
H0001,16790,2025-06-12,7
H0001,7172,2025-06-13,11
H0001,17588,2025-06-13,16
H0001,6833,2025-06-16,13
H0001,6829,2025-06-21,7
H0001,1701,2025-07-29,5
H0001,1683,2025-07-31,5
H0001,1554,2025-08-14,27
H0001,1684,2025-08-14,7
H0001,15120,2025-08-15,7
H0001,1557,2025-08-27,13
H0001,1687,2025-08-28,5
H0001,1652,2025-09-17,7
H0001,7197,2025-09-17,7
H0001,19044,2025-09-17,7
H0001,19043,2025-09-22,7
H0001,19052,2025-12-03,7
H0002,6732,2019-10-14,3
H0002,6720,2019-10-16,3
H0002,7227,2019-10-22,3
H0002,2250,2022-02-23,1
H0002,3134,2022-05-26,4
H0002,6830,2022-06-08,3
H0002,6832,2022-06-09,3
H0002,3214,2022-06-13,3
H0002,2938,2022-06-15,4
H0002,3081,2022-06-15,3
H0002,22328,2022-06-17,3
H0002,22337,2022-06-17,3
H0002,3207,2022-06-17,3
H0002,3250,2022-06-17,3
H0002,3266,2022-06-17,3
H0002,3275,2022-06-17,3
H0002,6736,2022-06-17,3
H0002,6737,2022-06-17,3
H0002,6740,2022-06-17,3
H0002,6742,2022-06-17,3
H0002,19502,2022-06-18,3
H0002,22315,2022-06-18,3
H0002,22334,2022-06-18,3
H0002,22356,2022-06-18,3
H0002,2953,2022-06-18,3
H0002,3232,2022-06-18,3
H0002,3245,2022-06-18,3
H0002,3255,2022-06-18,3
H0002,3279,2022-06-18,3
H0002,10049,2022-06-19,4
H0002,22321,2022-06-19,3
H0002,22348,2022-06-19,3
H0002,22360,2022-06-19,3
H0002,3274,2022-06-19,3
H0002,10169,2022-06-20,0
H0002,22309,2022-06-20,3
H0002,22311,2022-06-20,3
H0002,22318,2022-06-20,3
H0002,22344,2022-06-20,3
H0002,3197,2022-06-20,3
H0002,3248,2022-06-20,3
H0002,3271,2022-06-20,3
H0002,3281,2022-06-20,3
H0002,6727,2022-06-20,3
H0002,7224,2022-06-20,3
H0002,639,2022-06-21,3
H0002,22320,2022-06-21,3
H0002,2966,2022-06-21,3
H0002,3256,2022-06-21,3
H0002,6743,2022-06-21,3
H0002,616,2022-06-22,3
H0002,10008,2022-06-22,12
H0002,22319,2022-06-22,3
H0002,3233,2022-06-22,3
H0002,3257,2022-06-22,3
H0002,6722,2022-06-22,3
H0002,18429,2022-06-23,3
H0002,22339,2022-06-23,3
H0002,3254,2022-06-23,3
H0002,6739,2022-06-23,3
H0002,607,2022-06-24,3
H0002,3235,2022-06-24,3
H0002,3219,2022-06-25,3
H0002,6719,2022-06-25,3
H0002,22353,2022-06-26,3
H0002,22359,2022-06-26,3
H0002,3224,2022-06-27,3
H0002,3227,2022-06-27,3
H0002,2957,2022-06-28,3
H0002,22341,2022-06-29,3
H0002,565,2022-06-30,1
H0002,22346,2022-06-30,3
H0002,3277,2022-06-30,3
H0002,6721,2022-06-30,3
H0002,3249,2022-07-02,3
H0002,3230,2022-07-03,3
H0002,3223,2022-07-05,3
H0002,3272,2022-07-05,3
H0002,6715,2022-07-12,3
H0002,6723,2022-07-16,3
H0002,22266,2022-08-01,3
H0002,7232,2022-08-04,3
H0002,3259,2022-08-09,3
H0002,7234,2022-08-09,3
H0002,3282,2022-08-10,3
H0002,3280,2022-08-19,3
H0002,3242,2022-10-18,3
H0002,603,2022-10-19,3
H0002,7233,2022-11-30,3
H0002,3243,2022-12-01,3
H0002,6725,2022-12-12,3
H0002,592,2022-12-29,3
H0002,6738,2023-01-11,3
H0002,3263,2023-01-23,3
H0002,3234,2023-03-06,3
H0002,3283,2023-03-07,3
H0002,3273,2023-03-08,3
H0002,3216,2023-03-15,3
H0002,3195,2023-04-13,3
H0002,3225,2023-04-20,3
H0002,3236,2023-04-20,3
H0002,7237,2023-04-20,3
H0002,3260,2023-05-18,3
H0002,3247,2023-05-21,3
H0002,3244,2023-05-30,3
H0002,597,2023-05-31,3
H0002,3199,2023-05-31,3
H0002,3203,2023-05-31,3
H0002,3210,2023-05-31,3
H0002,3221,2023-05-31,3
H0002,3253,2023-05-31,3
H0002,3265,2023-05-31,3
H0002,3278,2023-05-31,3
H0002,6724,2023-05-31,3
H0002,6746,2023-05-31,3
H0002,7235,2023-05-31,3
H0002,2932,2023-06-01,3
H0002,3284,2023-06-01,3
H0002,2951,2023-06-02,4
H0002,2976,2023-06-02,3
H0002,3246,2023-06-03,3
H0002,3252,2023-06-06,3
H0002,2906,2023-06-10,1
H0002,588,2023-06-22,3
H0002,7229,2023-07-17,3
H0002,6735,2023-09-25,3
H0002,3218,2023-09-29,3
H0002,3241,2023-10-03,3
H0002,3268,2023-10-03,3
H0002,3229,2023-11-04,3
H0002,3211,2024-05-09,3
H0002,3212,2024-05-09,3
H0002,6749,2024-05-14,3
H0002,3240,2024-05-31,3
H0002,3231,2024-07-25,3
H0002,3239,2024-07-25,3
H0002,3262,2024-07-25,3
H0002,3465,2024-07-28,3
H0002,3435,2024-08-01,3
H0002,7236,2024-09-02,3
H0002,3237,2024-10-10,3
H0002,3258,2025-01-30,3
H0002,7238,2025-02-03,3
H0002,3213,2025-02-15,3
H0002,3193,2025-09-24,3
H0002,3194,2025-12-17,3
H0003,5720,2022-10-09,6
H0003,5718,2023-10-06,2
H0003,5716,2023-10-09,2
H0003,5711,2023-10-11,2
H0003,5708,2023-12-14,6
H0003,5712,2023-12-15,6
H0003,5690,2023-12-31,2
H0003,5714,2024-02-23,2
H0003,4280,2024-02-28,2
H0003,5710,2024-04-01,6
H0003,5567,2024-07-24,2
H0003,5559,2024-07-25,2
H0003,5707,2024-07-25,2
H0003,5565,2024-07-29,2
H0003,5664,2024-07-29,2
H0003,4253,2024-07-30,2
H0003,5564,2024-07-31,2
H0003,5590,2024-07-31,2
H0003,16036,2024-08-01,6
H0003,5570,2024-08-02,2
H0003,5572,2024-09-23,2
H0003,5686,2024-09-24,-1
H0003,5684,2024-10-04,2
H0003,5895,2024-10-13,2
H0003,4341,2024-10-18,2
H0003,5333,2024-10-30,2
H0003,5337,2024-11-29,2
H0003,5672,2024-12-12,2
H0003,906,2025-02-07,2
H0003,5848,2025-02-17,2
H0003,5294,2025-02-19,2
H0003,4420,2025-04-15,2
H0003,5273,2025-04-21,2
H0003,5484,2025-04-24,2
H0003,5288,2025-04-28,2
H0003,391,2025-05-05,2
H0003,5270,2025-05-05,2
H0003,5272,2025-05-05,2
H0003,5289,2025-05-05,2
H0003,5645,2025-05-05,2
H0003,5275,2025-05-06,2
H0003,5421,2025-05-06,2
H0003,5632,2025-05-06,2
H0003,5647,2025-05-06,2
H0003,5887,2025-05-06,2
H0003,5271,2025-05-07,2
H0003,5278,2025-05-08,2
H0003,5555,2025-05-08,2
H0003,5281,2025-05-09,2
H0003,4310,2025-05-10,2
H0003,20282,2025-05-11,16
H0003,5397,2025-05-28,2
H0003,5701,2025-06-05,6
H0003,5698,2025-06-17,6
H0003,5020,2025-07-15,2
H0003,4106,2025-07-16,2
H0003,5641,2025-07-17,2
H0003,5279,2025-07-26,6
H0003,5083,2025-08-07,2
H0003,5548,2025-08-11,2
H0003,5416,2025-08-21,2
H0003,16077,2025-08-23,2
H0003,5091,2025-08-23,2
H0003,5881,2025-08-23,2
H0003,5882,2025-08-23,2
H0003,5743,2025-08-27,2
H0003,5276,2025-09-04,2
H0003,5646,2025-09-05,2
H0003,5648,2025-09-05,2
H0003,5056,2025-09-23,2
H0003,5267,2025-09-23,2
H0003,5277,2025-09-23,2
H0003,5742,2025-09-23,2
H0003,5269,2025-09-24,2
H0003,5274,2025-09-24,2
H0003,5513,2025-09-24,2
H0003,5266,2025-09-25,2
H0003,5284,2025-10-24,2
H0003,5376,2025-10-29,2
H0003,5385,2025-10-29,2
H0003,5364,2025-10-30,2
H0003,5387,2025-11-06,2
