thread_id,doc_id,fecha,familia
H0000,16808,2016-12-05,7
H0000,1672,2017-03-09,5
H0000,1697,2017-07-20,7
H0000,16801,2017-08-07,7
H0000,15169,2017-08-21,5
H0000,1737,2017-08-22,22
H0000,1700,2017-08-25,5
H0000,1612,2017-09-01,25
H0000,15172,2017-10-13,27
H0000,1740,2017-10-18,14
H0000,1649,2017-12-01,5
H0000,1675,2017-12-02,5
H0000,1696,2018-01-22,7
H0000,15158,2018-01-22,5
H0000,5660,2018-03-02,2
H0000,15151,2018-03-14,5
H0000,1717,2018-04-03,27
H0000,1738,2018-04-03,7
H0000,1715,2018-06-12,5
H0000,1730,2018-08-02,7
H0000,1716,2018-08-16,25
H0000,1620,2019-02-18,25
H0000,16807,2019-03-04,3
H0000,1605,2019-03-07,27
H0000,1695,2019-03-14,5
H0000,15156,2019-10-09,7
H0000,1625,2020-03-04,27
H0000,1699,2020-05-30,5
H0000,1638,2021-04-21,7
H0000,1734,2021-04-28,22
H0000,1615,2021-08-11,-1
H0000,1628,2021-08-11,-1
H0000,1629,2021-08-11,25
H0000,1631,2021-08-11,-1
H0000,1670,2021-08-11,7
H0000,15142,2021-08-11,7
H0000,1626,2021-08-12,7
H0000,1637,2021-08-12,7
H0000,16802,2021-08-12,7
H0000,18334,2021-08-13,7
H0000,1611,2021-08-14,25
H0000,1718,2021-08-16,5
H0000,16793,2021-08-28,7
H0000,16800,2021-09-28,11
H0000,1610,2021-10-05,25
H0000,1639,2021-10-05,7
H0000,1729,2021-10-19,14
H0000,1745,2021-10-27,27
H0000,1602,2021-11-17,7
H0000,1634,2022-01-12,7
H0000,15138,2022-01-12,27
H0000,23170,2022-01-12,7
H0000,16813,2022-01-13,8
H0000,1665,2022-01-17,5
H0000,1614,2022-04-07,25
H0000,1668,2022-04-07,11
H0000,15146,2022-04-07,5
H0000,1709,2022-04-25,5
H0000,1694,2022-05-19,7
H0000,15166,2022-07-21,7
H0000,16798,2022-12-29,15
H0000,1721,2022-12-31,5
H0000,1647,2023-01-11,5
H0000,1597,2023-01-13,27
H0000,1619,2023-01-13,-1
H0000,1743,2023-01-14,11
H0000,1731,2023-01-15,22
H0000,1710,2023-01-17,5
H0000,1604,2023-01-18,7
H0000,1613,2023-01-18,25
H0000,1640,2023-01-18,5
H0000,1664,2023-01-18,5
H0000,1666,2023-01-18,7
H0000,1727,2023-01-18,7
H0000,8775,2023-01-18,7
H0000,15141,2023-01-18,5
H0000,15148,2023-01-18,7
H0000,16803,2023-01-18,7
H0000,16804,2023-01-18,7
H0000,17369,2023-01-19,6
H0000,23164,2023-01-19,7
H0000,1735,2023-01-20,7
H0000,16812,2023-02-24,7
H0000,1680,2023-06-30,5
H0000,15137,2023-06-30,7
H0000,15143,2023-07-01,5
H0000,15152,2023-07-28,5
H0000,1663,2023-12-20,5
H0000,1682,2023-12-21,5
H0000,15154,2023-12-26,7
H0000,1658,2024-12-10,5
H0000,7166,2024-12-10,10
H0000,7179,2024-12-10,10
H0000,7212,2024-12-10,7
H0000,7216,2024-12-10,7
H0000,16797,2024-12-10,11
H0000,1577,2024-12-11,27
H0000,15164,2024-12-11,5
H0000,1588,2024-12-12,25
H0000,15132,2024-12-12,7
H0000,1692,2024-12-16,5
H0000,1688,2024-12-17,7
H0000,15157,2024-12-17,5
H0000,5870,2024-12-18,27
H0000,15123,2024-12-19,7
H0000,1689,2024-12-22,5
H0000,18323,2024-12-23,7
H0000,23173,2024-12-23,7
H0000,1591,2024-12-27,15
H0000,1686,2024-12-27,27
H0000,16792,2024-12-30,7
H0000,17279,2024-12-31,7
H0000,7205,2025-01-02,7
H0000,15130,2025-01-04,27
H0000,1572,2025-01-07,13
H0000,1559,2025-01-08,13
H0000,1586,2025-01-08,13
H0000,1662,2025-01-08,5
H0000,16794,2025-01-08,7
H0000,16796,2025-01-08,22
H0000,1563,2025-01-09,25
H0000,1713,2025-01-09,5
H0000,1719,2025-01-09,7
H0000,7185,2025-01-09,27
H0000,15126,2025-01-09,7
H0000,1594,2025-01-10,7
H0000,15131,2025-01-10,7
H0000,1590,2025-02-10,27
H0000,17282,2025-02-17,7
H0000,7181,2025-02-18,11
H0000,7186,2025-02-18,7
H0000,7189,2025-02-18,7
H0000,7215,2025-02-18,7
H0000,15127,2025-02-18,7
H0000,17268,2025-02-18,7
H0000,17275,2025-03-25,7
H0000,1679,2025-05-07,5
H0000,19050,2025-05-17,7
H0000,1676,2025-05-20,5
H0000,1677,2025-05-20,7
H0000,1685,2025-05-27,5
H0000,7170,2025-05-30,5
H0000,1570,2025-06-03,13
H0000,7137,2025-06-12,7
H0000,7190,2025-06-12,10
H0000,16790,2025-06-12,7
H0000,7172,2025-06-13,11
H0000,17588,2025-06-13,16
H0000,6833,2025-06-16,13
H0000,6829,2025-06-21,7
H0000,1701,2025-07-29,5
H0000,1683,2025-07-31,5
H0000,1554,2025-08-14,27
H0000,1684,2025-08-14,7
H0000,15120,2025-08-15,7
H0000,17267,2025-08-18,0
H0000,1557,2025-08-27,13
H0000,1652,2025-09-17,7
H0000,7197,2025-09-17,7
H0000,19044,2025-09-17,7
H0000,19043,2025-09-22,7
H0000,19052,2025-12-03,7
H0001,6732,2019-10-14,3
H0001,6720,2019-10-16,3
H0001,7227,2019-10-22,3
H0001,2938,2022-06-15,4
H0001,3207,2022-06-17,3
H0001,3250,2022-06-17,3
H0001,3266,2022-06-17,3
H0001,3275,2022-06-17,3
H0001,6736,2022-06-17,3
H0001,6737,2022-06-17,3
H0001,6740,2022-06-17,3
H0001,6742,2022-06-17,3
H0001,19502,2022-06-18,3
H0001,22315,2022-06-18,3
H0001,22356,2022-06-18,3
H0001,3232,2022-06-18,3
H0001,3245,2022-06-18,3
H0001,3255,2022-06-18,3
H0001,3279,2022-06-18,3
H0001,10049,2022-06-19,4
H0001,22321,2022-06-19,3
H0001,22360,2022-06-19,3
H0001,3274,2022-06-19,3
H0001,10169,2022-06-20,0
H0001,22309,2022-06-20,3
H0001,22311,2022-06-20,3
H0001,22318,2022-06-20,3
H0001,22344,2022-06-20,3
H0001,3197,2022-06-20,3
H0001,3248,2022-06-20,3
H0001,3271,2022-06-20,3
H0001,3281,2022-06-20,3
H0001,6727,2022-06-20,3
H0001,7224,2022-06-20,3
H0001,22320,2022-06-21,3
H0001,3256,2022-06-21,3
H0001,6743,2022-06-21,3
